"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"116";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-02";228500955,730244;22703886,152162;200778750,969744;NA;207003103,194103;NA;20541304,3478261;NA;NA;198170783,236994;18079681,2749004;NA;NA;NA
"117";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";100559805,544063;20433497,5369458;46443483,3204034;35167630,0578035;79805466,8304668;NA;18487173,9130435;NA;NA;45840216,7630058;16271713,1474104;35710113,6363636;NA;NA
"118";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-02";18173458,8332644;NA;17862878,2001552;NA;18416646,1916462;NA;NA;NA;NA;17630852,6011561;NA;NA;NA;NA
"119";"O3-C-1";24231278,4443525;NA;NA;27052023,1213873;24555528,2555283;NA;NA;NA;NA;NA;NA;27469318,1818182;NA;NA
"120";"T1";2358188018,20439;694738916,256158;1111071024,04965;542934104,046243;1621155975,42998;779494736,842105;14378913,0434783;729221509,433962;440253424,657534;697006372,83237;12655776,8924303;177726488,636364;336011814,345992;NA
"121";"T12";24231278,4443525;NA;NA;27052023,1213873;24555528,2555283;NA;NA;NA;NA;NA;NA;27469318,1818182;NA;NA
"122";"T13";684533616,052958;22703886,152162;579948112,231704;78450867,0520231;578282690,41769;119726315,789474;NA;24388679,245283;46615068,4931507;530100968,208093;NA;NA;71649578,0590717;NA
"123";"T14";184157716,177079;118060207,991242;57161210,2404965;NA;186622014,742015;NA;NA;126821132,075472;NA;56418728,3236994;NA;NA;NA;NA
"124";"T18";18173458,8332644;17027914,6141215;NA;NA;NA;NA;15405978,2608696;NA;NA;NA;13559760,9561753;NA;NA;NA
"125";"T19";167195821,266032;156656814,449918;NA;NA;169433144,963145;NA;NA;168281886,792453;NA;NA;NA;NA;NA;NA
"126";"T2";626378547,786512;NA;158384186,708042;519398843,930636;272566363,636364;375736842,105263;NA;NA;103589041,09589;62295679,1907514;NA;232115738,636364;265597573,839662;NA
"127";"T22";21808150,5999173;20433497,5369458;NA;NA;22099975,4299754;NA;NA;21949811,3207547;NA;NA;NA;NA;NA;NA
"128";"T26";41193173,3553993;38596606,4586754;NA;NA;41744398,034398;NA;NA;41460754,7169811;NA;NA;NA;NA;NA;NA
"129";"T27";386488891,187422;99897099,0695129;275088324,282389;NA;380610687,960688;NA;9243586,95652174;107310188,679245;NA;260936618,49711;NA;NA;NA;12189494,6808511
"130";"T29";24231278,4443525;NA;23817170,9335402;NA;24555528,2555283;NA;NA;NA;NA;23507803,4682081;NA;NA;NA;NA
"131";"T3";2114179044,26976;823015873,015873;1155132790,2767;67630057,8034682;1777820245,70025;329884210,526316;39028478,2608696;862139811,320755;296523630,136986;847456315,028902;16271713,1474104;27469318,1818182;37060126,5822785;27087765,9574468
"132";"T31";48462556,888705;NA;47634341,8670804;NA;49111056,5110565;NA;NA;NA;NA;47015606,9364162;NA;NA;NA;NA
"133";"T32";190215535,788167;NA;84550956,8140678;116323699,421965;192760896,805897;NA;NA;NA;NA;83452702,3121387;NA;118118068,181818;NA;NA
"134";"T34";110252316,921804;NA;36916614,9469873;81156069,3641618;111727653,562654;NA;NA;NA;NA;36437095,3757225;NA;82407954,5454545;NA;NA
"135";"T35";301679416,632189;NA;181010499,094906;131202312,138728;305716326,781327;NA;NA;NA;NA;178659306,358382;NA;133226193,181818;NA;NA
"136";"T35-C-1";942839044,269756;NA;425851016,291699;568904046,242775;895294560,19656;62410526,3157895;NA;NA;NA;420319526,011561;NA;510379931,818182;60531540,0843882;NA
"137";"T35-C-2";1163343678,11336;9081554,46086481;673549594,000517;522915606,936416;1027894412,77641;103168421,052632;43136739,1304348;NA;14243493,1506849;611908124,277457;7231872,50996016;434839306,818182;86473628,6919831;46049202,1276596
"138";"T35-C-3";24231278,4443525;NA;23817170,9335402;NA;24555528,2555283;NA;NA;NA;NA;23507803,4682081;NA;NA;NA;NA
"139";"T36-C-1";805690008,274721;NA;352494129,816395;499109826,589595;782093574,938575;35663157,8947368;NA;NA;14243493,1506849;334986199,421965;NA;483460000;21000738,3966245;NA
"140";"T36-C-2";20596586,6776996;NA;20244595,2935092;NA;20872199,017199;NA;NA;NA;NA;19981632,9479769;NA;NA;NA;NA
"141";"T36-C-3";161138001,654944;136223316,912972;15481161,1068011;NA;163294262,899263;NA;NA;146332075,471698;NA;15280072,2543353;NA;NA;NA;NA
"142";"T37";15750330,9888291;NA;NA;17583815,0289017;15961093,3660934;NA;NA;NA;NA;NA;NA;17855056,8181818;NA;NA
"143";"T37-C-2";554896276,375672;NA;285806051,202483;294867052,023121;500932776,412776;49673684,2105263;11297717,3913043;NA;NA;269164349,710983;NA;245850397,727273;48178164,556962;14898271,2765957
"144";"T37-C-3";24231278,4443525;NA;23817170,9335402;NA;24555528,2555283;NA;NA;NA;NA;23507803,4682081;NA;NA;NA;NA
"145";"T38";145387670,666115;NA;44061766,2270494;112265895,953757;147333169,53317;NA;NA;NA;NA;43489436,416185;NA;113997670,454545;NA;NA
"146";"T38-C-1";1864112250,72404;NA;753813460,046548;1224915606,93642;1815390203,9312;76421052,6315789;NA;NA;NA;744021979,768786;NA;1161402772,72727;74120253,164557;NA
"147";"T39";69059143,5664046;NA;51206917,5071115;18936416,1849711;69983255,5282555;NA;NA;NA;NA;50541777,4566474;NA;19228522,7272727;NA;NA
"148";"T39-C-1";33923789,8220935;NA;19053736,7468322;16231213,8728324;34377739,5577396;NA;NA;NA;NA;18806242,7745665;NA;16481590,9090909;NA;NA
"149";"T39-C-2";38770045,510964;NA;NA;43283236,9942197;39288845,2088452;NA;NA;NA;NA;NA;NA;43950909,0909091;NA;NA
"150";"T39-C-3";86021038,4774514;80598795,8401752;NA;NA;87172125,3071253;NA;NA;86579811,3207547;NA;NA;NA;NA;NA;NA
"151";"T39-C-4";369526996,276376;NA;54779493,1471425;350323699,421965;359738488,943489;15284210,5263158;NA;NA;NA;54067947,9768786;NA;339246079,545455;14824050,6329114;NA
"152";"T4";4098720748,86223;133952928,297756;2673477437,28989;1379653179,19075;3043657727,27273;1001115789,47368;121193695,652174;NA;484278767,123288;2199155014,45087;106670119,521912;835067272,727273;508959071,729958;NA
"153";"T40";48462556,888705;NA;47634341,8670804;NA;49111056,5110565;NA;NA;NA;NA;47015606,9364162;NA;NA;NA;NA
"154";"T40-C-1";179311460,488209;NA;109558986,294285;75745664,7398844;132599852,579853;NA;41082608,6956522;NA;NA;61120289,017341;NA;76914090,9090909;NA;54175531,9148936
"155";"T41";121156392,221763;NA;NA;135260115,606936;122777641,277641;NA;NA;NA;NA;NA;NA;137346590,909091;NA;NA
"156";"T41-C-1";717245841,952834;NA;328676958,882855;427421965,317919;726843636,363636;NA;NA;NA;NA;324407687,861272;NA;434015227,272727;NA;NA
"157";"T42";23746652,8754655;NA;NA;26510982,6589595;NA;24964210,5263158;NA;NA;NA;NA;NA;NA;24212616,0337553;NA
"158";"T43";290775341,33223;NA;28580605,1202483;292161849,710983;294666339,066339;NA;NA;NA;NA;28209364,1618497;NA;296668636,363636;NA;NA
"159";"T43-C-1";584700748,862226;NA;136948732,867856;497216184,971098;560602710,07371;20378947,3684211;10270652,173913;NA;20717808,2191781;104609725,433526;NA;504886068,181818;NA;13543882,9787234
"160";"T44";1363009412,49483;NA;NA;1521676300,57803;1356692936,11794;25473684,2105263;NA;NA;NA;NA;NA;1517679829,54545;24706751,0548523;NA
"161";"T44-C-1";1459449900,70335;NA;350112412,723041;1231678612,71676;1325507415,23342;NA;128383152,173913;NA;NA;198640939,306358;NA;1250678056,81818;NA;169298537,234043
"162";"T45";249582167,976831;NA;105986410,654254;158254335,260116;252921941,031941;NA;NA;NA;NA;104609725,433526;NA;160695511,363636;NA;NA
"163";"T45-C-1";1171582312,78444;NA;232217416,602017;1044208092,48555;1031332186,73219;161757894,736842;NA;NA;NA;229201083,815029;NA;885885511,363636;156887869,198312;NA
"164";"T45-C-2";935327347,952007;NA;762149469,873287;178543352,601156;909782321,867322;39484210,5263158;NA;NA;25897260,2739726;728741907,514451;NA;166189375;13588713,0801688;NA
"165";"T45-C-3";1021348386,42946;NA;335822110,162917;758809248,554913;1035015515,97052;NA;NA;NA;NA;331460028,901734;NA;770514375;NA;NA
"166";"T6";111463880,844022;NA;NA;124439306,358382;112955429,97543;NA;NA;NA;NA;NA;NA;126358863,636364;NA;NA
"167";"T7";249582167,976831;130547345,374932;108368127,747608;NA;179255356,265356;76421052,6315789;NA;140234905,660377;77691780,8219178;36437095,3757225;NA;NA;NA;NA
"168";"V1";44100926,7687216;NA;NA;49234682,0809249;44691061,4250614;NA;NA;NA;NA;NA;NA;49994159,0909091;NA;NA
"169";"V12";21808150,5999173;NA;21435453,8401862;NA;22099975,4299754;NA;NA;NA;NA;21157023,1213873;NA;NA;NA;NA
"170";"V2";56943504,3442284;NA;20244595,2935092;40578034,6820809;33149963,1449631;25473684,2105263;NA;NA;NA;19981632,9479769;NA;13734659,0909091;24706751,0548523;NA
"171";"V3";84809474,5552338;22703886,152162;46443483,3204034;14878612,716763;61388820,6388206;NA;20541304,3478261;NA;NA;45840216,7630058;18079681,2749004;15108125;NA;NA
"172";"V6";18173458,8332644;NA;17862878,2001552;NA;18416646,1916462;NA;NA;NA;NA;17630852,6011561;NA;NA;NA;NA
